Station_ID,TIMESTAMP,air_temp_set_1,relative_humidity_set_1,wind_speed_set_1,wind_direction_set_1,LAT,LON,Elevation
,,Celsius,%,m/s,Degrees,-14.331,-170.7105,9
NSTU,2017-01-03T19:50:00-1100,29,84.93,3.6,120,-14.331,-170.7105,9
NSTU,2017-01-03T20:20:00-1100,28,83.83,2.06,50,-14.331,-170.7105,9
NSTU,2017-01-03T20:32:00-1100,27,88.86,2.06,,-14.331,-170.7105,9
NSTU,2017-01-03T20:50:00-1100,26.9,91.54,1.54,,-14.331,-170.7105,9
NSTU,2017-01-03T21:50:00-1100,27.5,93.76,4.63,120,-14.331,-170.7105,9
NSTU,2017-01-03T22:50:00-1100,28.1,90.54,3.6,120,-14.331,-170.7105,9
NSTU,2017-01-03T23:50:00-1100,28.3,90.02,3.6,100,-14.331,-170.7105,9
NSTU,2017-01-04T00:50:00-1100,28.2,88.96,5.14,110,-14.331,-170.7105,9
NSTU,2017-01-04T01:52:00-1100,28.3,87.92,4.12,120,-14.331,-170.7105,9
NSTU,2017-01-04T02:51:00-1100,28.3,87.41,4.12,110,-14.331,-170.7105,9
NSTU,2017-01-04T03:51:00-1100,27.1,89.4,2.06,,-14.331,-170.7105,9
NSTU,2017-01-04T04:51:00-1100,26.8,94.28,0,0,-14.331,-170.7105,9
NSTU,2017-01-04T05:50:00-1100,26.7,90.98,2.57,,-14.331,-170.7105,9
NSTU,2017-01-04T06:51:00-1100,26.9,93.18,1.54,,-14.331,-170.7105,9
NSTU,2017-01-04T07:52:00-1100,28.2,88.96,3.6,80,-14.331,-170.7105,9
NSTU,2017-01-04T08:50:00-1100,28.6,88.99,6.69,110,-14.331,-170.7105,9
NSTU,2017-01-04T09:51:00-1100,29.2,86.97,4.12,100,-14.331,-170.7105,9
NSTU,2017-01-04T10:52:00-1100,29.9,83.54,4.63,90,-14.331,-170.7105,9
NSTU,2017-01-04T11:50:00-1100,31,81.26,4.12,100,-14.331,-170.7105,9
NSTU,2017-01-04T12:51:00-1100,30.6,83.14,4.63,100,-14.331,-170.7105,9
NSTU,2017-01-04T13:50:00-1100,28.9,86.44,4.12,100,-14.331,-170.7105,9
NSTU,2017-01-04T14:50:00-1100,27.9,86.86,2.06,50,-14.331,-170.7105,9
NSTU,2017-01-04T15:50:00-1100,28.7,84.9,1.54,,-14.331,-170.7105,9
NSTU,2017-01-04T16:52:00-1100,28.6,85.39,3.09,,-14.331,-170.7105,9
NSTU,2017-01-04T17:50:00-1100,28.4,88.97,2.06,,-14.331,-170.7105,9
NSTU,2017-01-04T18:50:00-1100,28.2,86.88,2.06,,-14.331,-170.7105,9
NSTU,2017-01-04T19:54:00-1100,28.2,87.4,3.6,120,-14.331,-170.7105,9
NSTU,2017-01-04T20:50:00-1100,28.4,88.45,4.63,110,-14.331,-170.7105,9
NSTU,2017-01-04T21:50:00-1100,28.5,87.94,4.63,120,-14.331,-170.7105,9
NSTU,2017-01-04T22:50:00-1100,28.4,88.97,4.63,130,-14.331,-170.7105,9
NSTU,2017-01-04T23:50:00-1100,28.1,91.07,5.66,120,-14.331,-170.7105,9
NSTU,2017-01-05T00:50:00-1100,26.3,89.88,1.54,330,-14.331,-170.7105,9
NSTU,2017-01-05T01:52:00-1100,26.2,90.95,1.54,,-14.331,-170.7105,9
NSTU,2017-01-05T02:50:00-1100,28.2,89.48,5.14,130,-14.331,-170.7105,9
NSTU,2017-01-05T03:50:00-1100,28.2,90.01,6.69,130,-14.331,-170.7105,9
NSTU,2017-01-05T04:50:00-1100,27.9,91.06,5.14,130,-14.331,-170.7105,9
NSTU,2017-01-05T05:51:00-1100,28.2,90.01,5.66,130,-14.331,-170.7105,9
NSTU,2017-01-05T06:54:00-1100,28.6,86.41,6.69,110,-14.331,-170.7105,9
NSTU,2017-01-05T07:50:00-1100,29.7,84.01,5.66,110,-14.331,-170.7105,9
NSTU,2017-01-05T08:51:00-1100,30.9,81.73,5.66,100,-14.331,-170.7105,9
NSTU,2017-01-05T09:54:00-1100,31.2,78.03,6.17,100,-14.331,-170.7105,9
NSTU,2017-01-05T10:52:00-1100,31.4,78.98,5.66,100,-14.331,-170.7105,9
NSTU,2017-01-05T11:50:00-1100,31.9,78.13,5.66,100,-14.331,-170.7105,9
NSTU,2017-01-05T12:50:00-1100,31.7,77.19,4.63,70,-14.331,-170.7105,9
NSTU,2017-01-05T13:50:00-1100,30.4,80.24,5.66,100,-14.331,-170.7105,9
NSTU,2017-01-05T14:55:00-1100,30.9,79.84,5.14,110,-14.331,-170.7105,9
NSTU,2017-01-05T15:50:00-1100,30.5,80.25,4.12,90,-14.331,-170.7105,9
NSTU,2017-01-05T16:50:00-1100,30,80.19,4.12,100,-14.331,-170.7105,9
NSTU,2017-01-05T17:55:00-1100,29.5,78.71,4.63,90,-14.331,-170.7105,9
NSTU,2017-01-05T18:50:00-1100,29,82.95,4.63,110,-14.331,-170.7105,9
NSTU,2017-01-05T19:50:00-1100,28.9,83.93,4.12,120,-14.331,-170.7105,9
NSTU,2017-01-05T20:50:00-1100,28.6,85.39,4.63,90,-14.331,-170.7105,9
NSTU,2017-01-05T21:50:00-1100,28.7,85.4,2.57,,-14.331,-170.7105,9
NSTU,2017-01-05T22:52:00-1100,28.1,84.84,3.09,,-14.331,-170.7105,9
NSTU,2017-01-05T23:51:00-1100,28.2,87.92,4.63,120,-14.331,-170.7105,9
NSTU,2017-01-06T00:50:00-1100,28.2,88.44,5.14,110,-14.331,-170.7105,9
NSTU,2017-01-06T01:51:00-1100,28.5,87.94,6.17,110,-14.331,-170.7105,9
NSTU,2017-01-06T02:50:00-1100,28.4,87.42,6.69,110,-14.331,-170.7105,9
NSTU,2017-01-06T03:53:00-1100,27.8,89.45,6.17,110,-14.331,-170.7105,9
NSTU,2017-01-06T04:40:00-1100,27,88.86,4.63,60,-14.331,-170.7105,9
NSTU,2017-01-06T05:22:00-1100,26,94.25,7.2,100,-14.331,-170.7105,9
NSTU,2017-01-06T05:53:00-1100,25.8,95.37,2.06,,-14.331,-170.7105,9
NSTU,2017-01-06T06:50:00-1100,27.7,92.67,7.2,100,-14.331,-170.7105,9
NSTU,2017-01-06T07:56:00-1100,29.5,84.49,5.66,90,-14.331,-170.7105,9
NSTU,2017-01-06T08:55:00-1100,30.3,83.59,3.6,90,-14.331,-170.7105,9
NSTU,2017-01-06T09:50:00-1100,29.9,85.03,3.09,80,-14.331,-170.7105,9
NSTU,2017-01-06T10:50:00-1100,31.3,78.04,3.09,60,-14.331,-170.7105,9
NSTU,2017-01-06T11:50:00-1100,32,75.01,3.6,70,-14.331,-170.7105,9
NSTU,2017-01-06T12:50:00-1100,31.5,74.06,2.57,20,-14.331,-170.7105,9
NSTU,2017-01-06T13:50:00-1100,31.4,74.04,3.6,80,-14.331,-170.7105,9
NSTU,2017-01-06T14:50:00-1100,31.2,73.14,4.63,10,-14.331,-170.7105,9
NSTU,2017-01-06T15:50:00-1100,31.2,71.85,3.6,30,-14.331,-170.7105,9
NSTU,2017-01-06T16:50:00-1100,31.2,69.75,2.06,,-14.331,-170.7105,9
NSTU,2017-01-06T17:51:00-1100,30.2,73.84,3.09,,-14.331,-170.7105,9
NSTU,2017-01-06T18:50:00-1100,29.4,77.77,1.03,,-14.331,-170.7105,9
NSTU,2017-01-06T19:50:00-1100,28.9,80.04,1.54,,-14.331,-170.7105,9
NSTU,2017-01-06T20:52:00-1100,28.4,82.88,0,0,-14.331,-170.7105,9
NSTU,2017-01-06T21:51:00-1100,28.3,84.86,2.57,,-14.331,-170.7105,9
NSTU,2017-01-06T22:50:00-1100,28.1,84.84,1.03,,-14.331,-170.7105,9
NSTU,2017-01-06T23:50:00-1100,27.7,86.32,0,0,-14.331,-170.7105,9
NSTU,2017-01-07T00:50:00-1100,27.3,87.32,1.54,,-14.331,-170.7105,9
NSTU,2017-01-07T01:50:00-1100,26.8,89.38,0,0,-14.331,-170.7105,9
NSTU,2017-01-07T02:50:00-1100,26.3,90.95,0,0,-14.331,-170.7105,9
NSTU,2017-01-07T03:50:00-1100,26.4,91.5,3.09,,-14.331,-170.7105,9
NSTU,2017-01-07T04:50:00-1100,26.1,90.94,2.06,,-14.331,-170.7105,9
NSTU,2017-01-07T05:50:00-1100,26.7,91.52,4.12,90,-14.331,-170.7105,9
NSTU,2017-01-07T06:50:00-1100,25.5,91.45,1.54,,-14.331,-170.7105,9
NSTU,2017-01-07T07:55:00-1100,27,86.25,0,0,-14.331,-170.7105,9
NSTU,2017-01-07T08:51:00-1100,28.5,81.91,0,0,-14.331,-170.7105,9
NSTU,2017-01-07T09:52:00-1100,29.4,79.63,2.57,,-14.331,-170.7105,9
NSTU,2017-01-07T10:53:00-1100,30,80.19,2.06,,-14.331,-170.7105,9
NSTU,2017-01-07T11:50:00-1100,30.4,75.2,1.54,,-14.331,-170.7105,9
NSTU,2017-01-07T12:50:00-1100,31.1,68.9,2.57,,-14.331,-170.7105,9
NSTU,2017-01-07T13:52:00-1100,32.1,69.92,3.6,90,-14.331,-170.7105,9
NSTU,2017-01-07T14:54:00-1100,31.7,68.2,4.63,360,-14.331,-170.7105,9
NSTU,2017-01-07T15:51:00-1100,31.9,68.24,3.09,,-14.331,-170.7105,9
NSTU,2017-01-07T16:50:00-1100,29.9,77.84,4.12,90,-14.331,-170.7105,9
NSTU,2017-01-07T17:51:00-1100,29.8,77.83,3.09,,-14.331,-170.7105,9
