model,MAE,RMSE,R2,MAPE_%
XGBoost,0.006369314607948351,0.007926565827243815,0.23474142818946409,49.767289508085796
LightGBM,0.006173612505356648,0.007883604022875235,0.24301431553489583,51.35126225415797
Stacked,0.006330094899621142,0.007697185066389804,0.27839103706211943,46.632891905861456
