model,Angular_MAE,Angular_RMSE,R2
XGBoost,33.35581229734086,47.20890115531005,-0.29324126426590524
LightGBM,32.893030351057554,47.821472493614564,-0.2631871070319549
Stacked,32.99884742362255,47.64328616076525,-0.5288832424923331
