model,MAE,RMSE,R2,MAPE_%
XGBoost,40.04402881103594,58.1572999533916,0.1582275503156465,98.62190852561031
LightGBM,37.95517846375183,57.82857948701089,0.1677164990626181,79.6680170437251
Stacked,40.156725356455404,58.2511870324697,0.1555075014316244,96.58694471538229
