model,MAE,RMSE,R2,MAPE_%
XGBoost,0.03273072725551736,0.06112725825376502,0.9406281223389049,19626.96330035635
LightGBM,0.03089481760410967,0.06178136371701829,0.9393506806759657,3208.023947488708
Stacked,0.03182202898617516,0.062468295746523565,0.9379944925921941,13645.089518215076
