model,Angular_MAE,Angular_RMSE,R2
XGBoost,53.63285544993604,75.71274698793522,-0.29517797520696987
LightGBM,53.82959086341973,78.03427854778971,-0.3036609126337444
Stacked,54.407721785854854,76.29757085670452,-0.28330315272233153
