model,Angular_MAE,Angular_RMSE,R2
XGBoost,51.599110942242,71.34189663778344,-1.194176078705425
LightGBM,52.5765833380833,74.31319907633402,-1.579134572578857
Stacked,53.613229413833956,72.47939003069874,-1.2377768571082504
