model,MAE,RMSE,R2,MAPE_%
XGBoost,0.043875848293322924,0.07907059864855831,0.9012818179692756,7086.566672880384
LightGBM,0.04132916550995648,0.07661364127567089,0.9073214345341668,4196.114468891998
Stacked,0.040671744534403725,0.07541728763044338,0.9101932638294086,9525.522176984341
