TIMESTAMP,WindDir_D1_WVT,PTemp_target,AirTF_target,RH_target,SolarW_target,SolarMJ_target,wind_speed_weighted_0,air_temp_weighted_0,relative_humidity_weighted_0,wind_direction_sin_weighted_0,wind_direction_cos_weighted_0,wind_speed_weighted_1,air_temp_weighted_1,relative_humidity_weighted_1,wind_direction_sin_weighted_1,wind_direction_cos_weighted_1
2017-04-25 19:30:00,77.27,28.3,25.05555556,92.8,0.13,5.46e-05,0.12042377051361271,0.6503907479715768,1.921283406972931,0.02110586265098667,-0.004010273866093866,0.010953434757423837,0.662561097993504,1.9229363240810735,-0.0029664175598185802,0.024159532257189618
2017-04-25 19:45:00,80.7,26.65,25.09444444,92.1,0.075,6.71e-05,0.12159647332757895,0.6552460135143389,1.9038656300865806,0.021157093581615178,-0.0037305664318126467,0.010953434757423837,0.6693157160939154,1.908940268557699,-0.00296661464545611,0.02415950805730015
2017-04-25 20:00:00,78.61,24.76,25.24444444,92.7,0.058,5.25e-05,0.12703317339228193,0.6573586951729228,1.895526491700772,0.02136862762162522,-0.002218442762774177,0.010953434757423837,0.6760703341943268,1.896161261340704,-0.0023261809248359294,0.02422955869037476
2017-04-25 20:15:00,74.49,24.37,25.25555556,92.4,0.036,3.28e-05,0.1344197550981683,0.6581943967889465,1.8977666552336687,0.021478297926983594,0.0004716491101674018,0.010953434757423837,0.6828249522947382,1.88459930243009,-0.0011533042916624045,0.024313628302584104
2017-04-25 20:30:00,70.45,24.26,24.95,92.7,0.028,2.54e-05,0.14092669095088925,0.658630080560313,1.9031637235722862,0.021301484547000364,0.0027904284289861805,0.010953434757423837,0.6895795703951495,1.8742543918258565,0.00042480843393517495,0.024337258880569177
2017-04-25 20:45:00,72.31,24.03,25.25555556,91.1,0.036,3.24e-05,0.14372445345609597,0.6595427086849247,1.9042952996036393,0.021157093581615178,0.0037305664318126493,0.012664908938271314,0.6963341884955615,1.8654307916045982,0.005638834031544527,0.023678812951456855
2017-04-25 21:00:00,44.26,24.02,25.17777778,92.4,0.032,2.85e-05,0.14026695656101518,0.6610280896325685,1.900239976652237,0.021300671507281554,0.0027966279806712385,0.016430152136135755,0.7030888065959741,1.8584327638429112,0.011871513471986056,0.021249701172248028
2017-04-25 21:15:00,38.26,24.02,24.99444444,93.8,0.019,1.67e-05,0.13266046339183746,0.662597390407763,1.8951661179054298,0.021477959044679848,0.00048683672668022287,0.020195395334000204,0.7098434246963857,1.8532603085407942,0.015014123230836096,0.019158776986923084
2017-04-25 21:30:00,49.51,23.94,25.03888889,93.0,0.025,2.29e-05,0.12505397022265974,0.664250611010508,1.889285981044495,0.021370094731427217,-0.002204265386294554,0.021906869514847674,0.7165980427967951,1.8499134256982481,0.015646071434626502,0.01864626184220178
2017-04-25 21:45:00,49.33,23.85,24.82777778,93.9,0.023,2.06e-05,0.12159647332757895,0.6659877514408035,1.88281182375071,0.021157093581615178,-0.0037305664318126467,0.021906869514847674,0.7189417859077543,1.852727849906753,0.014825393850259405,0.019305189178303234
2017-04-25 22:00:00,62.01,23.71,24.83888889,92.6,0.029,2.62e-05,0.12159647332757895,0.6695549162923422,1.8702899974488787,0.02113823520544241,-0.0038359805946829952,0.021906869514847674,0.7149777787114298,1.863909481221623,0.01352724456551272,0.020236014590086462
2017-04-25 22:15:00,50.08,23.58,25.06666667,92.7,0.02,1.82e-05,0.12159647332757895,0.675153322424365,1.8509109590012758,0.021173832091731924,-0.003634359541175417,0.021906869514847674,0.7084770207152415,1.88026356783861,0.012099373930983629,0.021120790290697446
2017-04-25 22:30:00,64.02,23.67,25.18888889,91.9,0.025,2.25e-05,0.12159647332757895,0.6804656382351926,1.8318531242453844,0.02119960578667369,-0.003480869031293876,0.021906869514847674,0.7032105114266104,1.8985953579534651,0.011050567376416376,0.02168795962474727
2017-04-25 22:45:00,49.13,23.8,25.14444444,93.4,0.016,1.48e-05,0.12159647332757895,0.6831745321231467,1.8202949090186864,0.021157093581615178,-0.0037305664318126467,0.021906869514847674,0.6998057057191448,1.9285720875452785,0.010695135750868506,0.02186542255013335
2017-04-25 23:00:00,51.11,23.8,24.87222222,93.4,0.026,2.37e-05,0.12159647332757895,0.681409726256879,1.8294419520675678,0.020997016868261546,-0.004545879162200594,0.021906869514847674,0.6963875028864598,1.9724480619997318,0.010729369137657435,0.021848644578858198
2017-04-25 23:15:00,55.17,23.67,24.85,93.9,0.026,2.33e-05,0.12159647332757895,0.6765804413290539,1.8571563652370233,0.020732799860101483,-0.005629453320204856,0.021906869514847674,0.6929730690659848,2.015909133622465,0.010828540702433326,0.02179966371945059
2017-04-25 23:30:00,34.38,23.56,24.88333333,92.1,0.027,2.39e-05,0.12159647332757895,0.6712885935240127,1.887601274012445,0.02042514776080531,-0.006659810333084526,0.021906869514847674,0.6895795703951495,2.044641154719116,0.01067037723531384,0.021877515436664236
