TIMESTAMP,WS_mph_S_WVT,PTemp_target,AirTF_target,RH_target,SolarW_target,SolarMJ_target,Rain_target,wind_speed_weighted_0,air_temp_weighted_0,relative_humidity_weighted_0,wind_direction_sin_weighted_0,wind_direction_cos_weighted_0,wind_speed_weighted_1,air_temp_weighted_1,relative_humidity_weighted_1,wind_direction_sin_weighted_1,wind_direction_cos_weighted_1
2019-06-17 11:15:00,0.3553968,32.12,28.94444444,89.1,702.4,0.547863,0.0,0.03073208803089124,0.16375748561402187,0.46600877519289274,0.005177970612080059,-0.002989502726740392,0.008311723231156526,0.16363985901305558,0.6267325124973404,0.002268771586992406,-0.005842263235098095
2019-06-17 11:30:00,0.51499008,33.9,28.94444444,86.6,622.3,0.5600884,3.302,0.03073208803089124,0.16374347231999029,0.4660021901964354,0.005177970612080059,-0.002989502726740392,0.008398215667464362,0.16363985901305558,0.6267325124973404,0.002246008454170461,-0.005851052063169299
2019-06-17 11:45:00,0.525272,34.59,29.22222222,85.6,785.2,0.7066366,0.0,0.03073208803089124,0.16382474942537353,0.46600368504429246,0.005177970612080059,-0.002989502726740392,0.00909556870246518,0.16363985901305558,0.6267325124973404,0.002076686519761101,-0.005913267905377315
2019-06-17 12:00:00,0.35405568,34.88,29.11111111,91.1,361.6,0.3254382,0.0,0.03073208803089124,0.16397422456171054,0.4673110652802871,0.005177970612080059,-0.002989502726740392,0.01026133159202654,0.16363985901305558,0.6267325124973404,0.001847871021121551,-0.0059887174679911295
2019-06-17 12:15:00,0.57042304,33.42,27.61111111,85.6,464.0,0.417623,0.0,0.03073208803089124,0.16412369969804758,0.47019345408059887,0.005177970612080059,-0.002989502726740392,0.01120061059586632,0.16363985901305558,0.6267325124973404,0.0016782467010212864,-0.006038447833063896
2019-06-17 12:30:00,0.435864,34.46,29.11111111,82.0,834.0,0.7506145,0.0,0.03073208803089124,0.1642731748343846,0.4731184528123767,0.005177970612080059,-0.002989502726740392,0.011218511973702393,0.16363985901305558,0.6267325124973404,0.0016221031041926547,-0.006053771199962173
2019-06-17 12:45:00,0.57042304,35.33,29.72222222,81.8,779.3,0.7013503,0.0,0.03073208803089124,0.16442264997072162,0.47455366284277,0.005177970612080059,-0.002989502726740392,0.010529196147754803,0.16363985901305558,0.6267325124973404,0.001507823211119288,-0.006083242012786669
2019-06-17 13:00:00,0.51990752,36.32,29.66666667,80.8,727.1,0.6544095,0.0,0.03073208803089124,0.16457212510705863,0.47166580642089234,0.005263430065845928,-0.002836337454306541,0.00981973042758214,0.16363985901305558,0.6267325124973404,0.0012036616296073113,-0.00615065548568069
2019-06-17 13:15:00,0.53242464,36.8,28.88888889,89.2,349.9,0.3148906,0.0,0.03073208803089124,0.16472160024339566,0.4650488997674834,0.005434587582230607,-0.0024927422698341416,0.009104581403910092,0.16363985901305558,0.6267325124973404,0.0008498856557589131,-0.006209433033237265
2019-06-17 13:30:00,0.25213056,33.76,27.27777778,91.0,313.9,0.2824732,0.0,0.03073208803089124,0.1648710753797327,0.4583114852071309,0.005577333128573742,-0.0021544979428318807,0.008398215667464362,0.16363985901305558,0.6267325124973404,0.0006551138641122258,-0.00623299206217775
