TIMESTAMP,WindDir_D1_WVT,PTemp_target,AirTF_target,RH_target,SolarW_target,SolarMJ_target,Elevation_target,Rain_target,wind_speed_weighted_0,air_temp_weighted_0,relative_humidity_weighted_0,wind_direction_sin_weighted_0,wind_direction_cos_weighted_0,wind_speed_weighted_1,air_temp_weighted_1,relative_humidity_weighted_1,wind_direction_sin_weighted_1,wind_direction_cos_weighted_1
2019-06-11 12:15:00,319.2,36.37,28.88888889,87.8,60.79,0.05471281,302.0,0.0,0.06969491700281218,0.8691292065036885,2.8143142092336775,0.02908054598069292,0.011001933869860054,0.6821999865234766,14.365117775248615,55.01768584928616,0.5255222185207986,0.16285261269642617
2019-06-11 12:30:00,67.92,38.82,29.55555556,83.1,527.4,0.4746714,302.0,0.0,0.08268251953178372,0.8735752773480995,2.7980765335625573,0.029154313398815093,0.010804939317536191,0.7372369903804346,14.365117775248615,55.01768584928616,0.5261367463975255,0.16085614601655784
2019-06-11 12:45:00,63.98,38.05,28.55555556,90.5,230.5,0.2074485,302.0,0.0,0.09607468942571616,0.8767981365065359,2.782124016120739,0.029217047474965507,0.010634135614029957,0.7506386419563912,14.406037179099023,55.01768584928616,0.5248455224752865,0.16502046284845312
2019-06-11 13:00:00,168.3,36.16,27.61111111,91.8,150.4,0.135335,302.0,0.0,0.1115295952343159,0.8730070478060333,2.795696746592111,0.029261908815097906,0.010510061651049634,0.742375003764188,14.499911105579367,55.01768584928616,0.523243554182278,0.1700316400784624
2019-06-11 13:15:00,318.4,34.52,27.5,93.0,105.5,0.09490675,302.0,0.0,0.12925059647524254,0.8618766889896836,2.8451466476680984,0.029276015360767713,0.010470703319646758,0.7315423588801079,14.603413127083336,55.01768584928616,0.5215629959022283,0.17511886513613098
2019-06-11 13:30:00,346.6,33.62,26.66666667,96.0,24.3,0.02186807,302.0,4.064,0.14631836209777482,0.8504340208067022,2.896198354083152,0.029260764030960264,0.010513248391264747,0.7372369903804346,14.673216816004619,55.01768584928616,0.5202024395698773,0.17912006444455722
2019-06-11 13:45:00,300.1,32.57,25.4,98.8,87.4,0.07861567,302.0,0.762,0.1598135610511913,0.8457060040063041,2.914576500571726,0.029217047474965507,0.010634135614029957,0.7834849494857872,14.699694077319588,55.01768584928616,0.5120885853014416,0.201146355733934
2019-06-11 14:00:00,111.0,31.33,25.53888889,97.9,53.32,0.04798495,302.0,0.254,0.15115563931934148,0.8468233775180312,2.9005135377392284,0.02913224747607975,0.010864292908625655,0.8608728161368995,14.70531046608337,55.01768584928616,0.4948537121197002,0.2404462085840138
2019-06-11 14:15:00,136.9,30.72,25.83888889,94.4,12.24,0.011014,302.0,1.778,0.1180096504892475,0.848232239771948,2.880836527621122,0.029001604112714418,0.01120837465029408,0.9383376664902262,14.694880029807775,55.01768584928616,0.4770436401639902,0.27408746961538333
2019-06-11 14:30:00,132.4,30.31,26.02222222,93.0,12.45,0.01120481,302.0,2.032,0.08182467491494697,0.8499325907680544,2.8611620220969423,0.028828122747342713,0.011647319102527863,0.9848165767022222,14.673216816004619,55.01768584928616,0.46657643739419463,0.2915493160506733
