TIMESTAMP,SlrW_Avg_Aasu,wind_direction_sin_weighted_0,wind_direction_cos_weighted_0,wind_speed_weighted_0,air_temp_weighted_0,relative_humidity_weighted_0,synoptic_elevation_0,wind_direction_sin_weighted_1,wind_direction_cos_weighted_1,wind_speed_weighted_1,air_temp_weighted_1,relative_humidity_weighted_1,synoptic_elevation_1
2017-04-25 21:30:00,0.025,0.021370094731427217,-0.002204265386294554,0.12505397022265974,0.664250611010508,1.889285981044495,9.0,0.015646071434626502,0.01864626184220178,0.021906869514847674,0.7165980427967951,1.8499134256982481,480.0
2017-04-25 21:45:00,0.023,0.021157093581615178,-0.0037305664318126467,0.12159647332757895,0.6659877514408035,1.88281182375071,9.0,0.014825393850259405,0.019305189178303234,0.021906869514847674,0.7189417859077543,1.852727849906753,480.0
2017-04-25 22:00:00,0.029,0.02113823520544241,-0.0038359805946829952,0.12159647332757895,0.6695549162923422,1.8702899974488787,9.0,0.01352724456551272,0.020236014590086462,0.021906869514847674,0.7149777787114298,1.863909481221623,480.0
2017-04-25 22:15:00,0.02,0.021173832091731924,-0.003634359541175417,0.12159647332757895,0.675153322424365,1.8509109590012758,9.0,0.012099373930983629,0.021120790290697446,0.021906869514847674,0.7084770207152415,1.88026356783861,480.0
2017-04-25 22:30:00,0.025,0.02119960578667369,-0.003480869031293876,0.12159647332757895,0.6804656382351926,1.8318531242453844,9.0,0.011050567376416376,0.02168795962474727,0.021906869514847674,0.7032105114266104,1.8985953579534651,480.0
2017-04-25 22:45:00,0.016,0.021157093581615178,-0.0037305664318126467,0.12159647332757895,0.6831745321231467,1.8202949090186864,9.0,0.010695135750868506,0.02186542255013335,0.021906869514847674,0.6998057057191448,1.9285720875452785,480.0
2017-04-25 23:00:00,0.026,0.020997016868261546,-0.004545879162200594,0.12159647332757895,0.681409726256879,1.8294419520675678,9.0,0.010729369137657435,0.021848644578858198,0.021906869514847674,0.6963875028864598,1.9724480619997318,480.0
2017-04-25 23:15:00,0.026,0.020732799860101483,-0.005629453320204856,0.12159647332757895,0.6765804413290539,1.8571563652370233,9.0,0.010828540702433326,0.02179966371945059,0.021906869514847674,0.6929730690659848,2.015909133622465,480.0
2017-04-25 23:30:00,0.027,0.02042514776080531,-0.006659810333084526,0.12159647332757895,0.6712885935240127,1.887601274012445,9.0,0.01067037723531384,0.021877515436664236,0.021906869514847674,0.6895795703951495,2.044641154719116,480.0
2017-04-25 23:45:00,0.016,0.020187863727829766,-0.007347781490352368,0.12159647332757895,0.6681360990260964,1.9049398038792271,9.0,0.009154898140487784,0.022553724128460004,0.019179920653364033,0.6864355622990699,2.0497728476377657,480.0
2017-04-26 00:00:00,0.021,0.02002912392636826,-0.007770066245893406,0.11813897643249816,0.6671166939630091,1.9069888623644398,9.0,0.004529216745819276,0.023915869787544335,0.013722219654439309,0.6845728578558095,2.035644314368122,480.0
2017-04-26 00:15:00,0.024,0.019908266570509932,-0.008074692370666905,0.11053248326332045,0.666454169008663,1.9030535792548247,9.0,-0.003961783211840921,0.024016388275670448,0.009618484896362809,0.6852135096822191,2.0077584766782692,480.0
2017-04-26 00:30:00,0.022,0.019923762927786484,-0.008036380125451414,0.10292599009414272,0.6660955221667104,1.8945294134252815,9.0,-0.007924643419869672,0.023014835621687633,0.010953434757423837,0.6895795703951495,1.9716182563362907,480.0
2017-04-26 00:45:00,0.026,0.020187863727829766,-0.007347781490352368,0.09946849319906192,0.6659877514408035,1.88281182375071,9.0,-0.004131422973256572,0.023987788064793167,0.016369299720816733,0.6962629916862118,1.917671789466303,480.0
2017-04-26 01:00:00,0.019,0.020708544148659982,-0.005718035848645058,0.10085930813957267,0.6669947893714094,1.858108015105517,9.0,0.00021330930738449867,0.024340031453652003,0.021785164684209633,0.7030174505096447,1.8459099773219967,480.0
