TIMESTAMP,WindDir_D1_WVT,WindDir_sin,WindDir_cos,PTemp_target,RH_target,SolarW_target,SolarMJ_target,Rain_target,wind_speed_weighted_0,air_temp_weighted_0,relative_humidity_weighted_0,wind_direction_sin_weighted_0,wind_direction_cos_weighted_0,wind_speed_weighted_1,air_temp_weighted_1,relative_humidity_weighted_1,wind_direction_sin_weighted_1,wind_direction_cos_weighted_1
2017-08-24 12:45:00,158.0,0.37460659341591224,-0.9271838545667873,37.39,69.37,839.0,0.6544906,0.0,0.2558882504769075,0.8394875775062578,2.829384057521091,0.030619773143911094,-0.005399092148443985,0.5501961765005335,13.72794420100657,46.29222473412593,-0.04946543204601715,0.5479486715501508
2017-08-24 13:00:00,140.3,0.6387678175155974,-0.7693995550468953,36.68,76.18,901.0,0.8104782,0.0,0.2558882504769075,0.8394875775062578,2.8265905571716465,0.030719993043858373,-0.0047961162201579305,0.6314979435880704,13.722327812242789,45.38959082566108,0.08513532513274062,0.543549953578893
2017-08-24 13:15:00,156.3,0.4019477766559599,-0.9156625933395612,36.43,70.17,912.0,0.8209971,0.0,0.2558882504769075,0.8394875775062578,2.827413373902838,0.030754640811406834,-0.00456867288972607,0.7051497796375747,13.732758248518383,44.48695691719623,0.18688418638933701,0.5174638890769768
2017-08-24 13:30:00,174.4,0.09758289975914929,-0.9952273999818312,35.83,67.92,907.0,0.8163889,0.0,0.2558882504769075,0.8394875775062578,2.829632940808753,0.030743547745717463,-0.00464273361488244,0.7372369903804346,13.75442146232154,44.01414867942893,0.22377708852137607,0.5026115699762297
2017-08-24 13:45:00,157.5,0.3826834323650899,-0.9238795325112867,35.81,70.5,887.0,0.7980564,0.0,0.2558882504769075,0.8394875775062578,2.8310296909834753,0.030696514482362918,-0.0049441583759071,0.7372369903804346,13.817004079975103,43.968095928997045,0.1947500068421311,0.514555157836421
2017-08-24 14:00:00,165.9,0.24361501178602243,-0.9698720152847468,35.82,72.52,774.6,0.6971205,0.0,0.2558882504769075,0.8394875775062578,2.829384057521091,0.030619773143911094,-0.005399092148443985,0.7372369903804346,13.92130844273104,44.00596152379659,0.12537194705503737,0.5357018298575273
2017-08-24 14:15:00,159.4,0.3518416484047018,-0.9360595357389733,35.91,72.16,770.7,0.6936074,0.0,0.24789230328082631,0.8382818259626759,2.824011716911597,0.030321504491385546,-0.006879467188006273,0.7372369903804346,14.019194075471228,44.0479206964123,0.05178766981102622,0.547734071312547
2017-08-24 14:30:00,182.2,-0.038387809087519646,-0.9992629164106213,36.0,74.51,582.4,0.5241936,0.0,0.23277971242358095,0.8356942018635279,2.817443680718457,0.02967290474190695,-0.009286518593621871,0.7372369903804346,14.062520503077542,44.01414867942893,0.019200895458763963,0.5498417056159489
2017-08-24 14:45:00,170.7,0.16160382110336138,-0.9868557164068072,35.84,71.51,672.0,0.6048297,0.0,0.22386335400166876,0.8332691510062115,2.812283384645964,0.02921704747496551,-0.010634135614029953,0.7372369903804346,14.019194075471228,43.847130704529306,0.05403966178148629,0.54751647516364
2017-08-24 15:00:00,143.8,0.5906056676199253,-0.806960312143802,36.17,70.78,600.3,0.5402889,0.0,0.23297992712129592,0.8314509185334843,2.8132732882442717,0.029546255644467927,-0.009681915141319707,0.7372369903804346,13.921308442731041,43.621165209076885,0.12515394779598207,0.5357528021132085
